scene,angle_deg,category,direction,vx,vy,yaw,control_result,process_result,exit_code,log,csv
15-platform,15,STRAIGHT,down,-0.3,0,0,FAIL,ERROR,134,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/15-platform_STRAIGHT_down.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/15-platform_STRAIGHT_down.csv
15-platform,15,DIAGONAL,up,0.25,0.20,0,PASS,OK,0,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/15-platform_DIAGONAL_up.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/15-platform_DIAGONAL_up.csv
15-platform,15,DIAGONAL,down,-0.25,0.20,0,FAIL,ERROR,134,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/15-platform_DIAGONAL_down.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/15-platform_DIAGONAL_down.csv
15,15,CROSS,left,0,0.3,0,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/15_CROSS_left.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/15_CROSS_left.csv
15,15,CROSS,right,0,-0.3,0,FAIL,ERROR,134,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/15_CROSS_right.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/15_CROSS_right.csv
15,15,TURN,left,0,0,0.5,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/15_TURN_left.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/15_TURN_left.csv
15,15,TURN,right,0,0,-0.5,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/15_TURN_right.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/15_TURN_right.csv
20,20,STAND,neutral,0,0,0,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/20_STAND_neutral.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/20_STAND_neutral.csv
20-platform,20,STRAIGHT,up,0.3,0,0,PASS,OK,0,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/20-platform_STRAIGHT_up.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/20-platform_STRAIGHT_up.csv
20-platform,20,STRAIGHT,down,-0.3,0,0,FAIL,OK,2,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/20-platform_STRAIGHT_down.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/20-platform_STRAIGHT_down.csv
