expert,scene,angle_deg,category,direction,vx,vy,yaw,control_result,process_result,exit_code,log,csv
slope_down,10-platform,10,STRAIGHT,down,-0.3,0,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/10-platform_STRAIGHT_down.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/10-platform_STRAIGHT_down.csv
slope_down,10-platform,10,DIAGONAL,up,0.25,0.20,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/10-platform_DIAGONAL_up.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/10-platform_DIAGONAL_up.csv
slope_down,10-platform,10,DIAGONAL,down,-0.25,0.20,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/10-platform_DIAGONAL_down.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/10-platform_DIAGONAL_down.csv
slope_down,10,10,CROSS,left,0,0.3,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/10_CROSS_left.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/10_CROSS_left.csv
slope_down,10,10,CROSS,right,0,-0.3,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/10_CROSS_right.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/10_CROSS_right.csv
slope_down,10,10,TURN,left,0,0,0.5,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/10_TURN_left.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/10_TURN_left.csv
slope_down,10,10,TURN,right,0,0,-0.5,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/10_TURN_right.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/10_TURN_right.csv
slope_down,15,15,STAND,neutral,0,0,0,FAIL,OK,3,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/15_STAND_neutral.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/15_STAND_neutral.csv
slope_down,15-platform,15,STRAIGHT,up,0.3,0,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/15-platform_STRAIGHT_up.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/15-platform_STRAIGHT_up.csv
slope_down,15-platform,15,STRAIGHT,down,-0.3,0,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/15-platform_STRAIGHT_down.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/15-platform_STRAIGHT_down.csv
slope_down,15-platform,15,DIAGONAL,up,0.25,0.20,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/15-platform_DIAGONAL_up.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/15-platform_DIAGONAL_up.csv
slope_down,15-platform,15,DIAGONAL,down,-0.25,0.20,0,FAIL,OK,2,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/15-platform_DIAGONAL_down.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/15-platform_DIAGONAL_down.csv
